title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Electronic Access to Publications,GOVERNMENT ACCOUNTABILITY OFFICE,"GAO, EXCEPT COMPTROLLER GENERAL",US GAO ACQUISITION MANAGEMENT,Solicitation,05GA0A23Q0048 ,2023-05-15,2023-06-15,Inactive,,See SF1449.,https://sam.gov/opp/4be72553d95a474bbebac367ff81f779/view,,
2022 Incident Response Pocket Guide NFES 001077,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2022IncidentResponsePocketGuideNFES001077777558(2023),2023-05-15,2023-05-22,Inactive,,"COVERS: Screen-print copy on cover pages 1, 2, 3, and 4 head-to-foot in Black ink. Copy on covers consists of type, rules, screen-tints, logos. Copy is not common between pages. TEXT: 134 pages (67 leaves). Text prints copy head-to-foo",https://sam.gov/opp/86f91d15a03045ab868b9a40e82bee16/view,,
Window Cleaning Services IDIQ,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Combined Synopsis/Solicitation,AOCSSB23R0043,2023-05-15,2023-05-18,Inactive,,"The Architect of the Capitol (AOC), Supplies, Services, and Material Management Division (SSMMD) is issuing Request for Proposals (RFP) # AOCSSB23R0043 for an Indefinite Delivery Indefinite Quantity (IDIQ) contract for interior and exterior window",https://sam.gov/opp/5eb16efdd1ae40f09f551a801ec65943/view,,
Notification of Library of Congress Agile IDIQ Contract Ceiling Price Increase,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,CIO23PL0108,2023-05-12,,Inactive,,"This notice is provided in accordance with FAR 5.202(a)(2) and FAR 6.302-2, and serves as offical notice that the Library executed modifications on a sole-source basis which increased the IDIQ shared-ceiling amount of its multiple-award Agile",https://sam.gov/opp/9ddeccef9e5a40be8e5183b6afbae8ca/view,,
Library of Congress - Event Presentation Equipment,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0175,2023-05-11,2023-05-25,Inactive,,"The Library of Congress (Library) seeks to procure event presentation equipment, capable of transport within the Library complex to support various venues. The equipment sought will support medium to large-scale events occurring in the Great Hall",https://sam.gov/opp/cd898e635b7f40faae7a3952bfdeb947/view,,
735-144,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,735144,2023-05-11,2023-05-16,Inactive,,"PRODUCTS: Item (1) Nomination Postcards Item (2) Annual Election Self-mailer Item (3) Reminder Postcards Item (4) Make-up Election Self-mailer For full specifications, please visit: https://www.gpo.gov/how-to-w",https://sam.gov/opp/72aa2c1ab6784959b867277a941d9460/view,,
"US GPO Diagnosis and repair services related to freight, passenger and service elevators at the GPO facilities within the Metropolitan Washington DC area.",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-23-R-0005,2023-05-11,2023-05-15,Inactive,,"The U.S Government Publishing Office (GPO) Facilities Management has a requirement for diagnosis and repair services related to freight, passenger and service elevators at the GPO facilities within the Me",https://sam.gov/opp/67a5ebf5c5ce450e8069d237e3b4b774/view,,
Electronic Records Management System,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,M-19-21,2023-05-10,2023-05-24,Inactive,,"Records Administration and Management oversees the management of GPO’s agency file records. There are three warehouses and eight regions where records are produced. Records are created and managed through various methods: SharePoint, persona",https://sam.gov/opp/35bba26f0ae84410bc05c68b608def1f/view,,
InfoSec Staff Augmentation Sources Sought,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Sources Sought,OAM23065,2023-05-10,2023-05-24,Inactive,,"This is NOT a solicitation for a proposal, proposal abstract, or quote. The purpose of this notice is to obtain information regarding qualified business sources. The responses to the information requested will assist the Government in determining",https://sam.gov/opp/8c88cde8e93f49d491d262ff6e09645a/view,,
LOW SPEED VEHICLES,THE LEGISLATIVE BRANCH,JOINT HOUSE AND SENATE ENTITIES,US CAPITOL POLICE PROCUREMENT,Solicitation,LOGP202300021,2023-05-10,2023-06-09,Inactive,,"THE UNITED STATES CAPITOL POLICE (USCP) REQUIRES, THREE (3) POLARIS LOW SPEED VEHICLES. THIS REQUIREMENT WILL BE AWARDED ( LOWEST PRICE TECHNICALLY ACCEPTABLE ) PLEASE SUBMIT YOUR BEST PRICING. ONLY",https://sam.gov/opp/68d4ef617b6c4db6aae7c5509664a955/view,,
FEDLINK Electronic Resources Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS FEDLINK,Combined Synopsis/Solicitation,LCFDL23R0059,2023-05-10,2023-05-15,Inactive,,The purpose of Amendment 0004 is to extend the solicitation due date from 5/12/2023 at 9:00 AM EST to 5/15/2023 at 9 AM EST. The purpose of Amendment 0003 is to extend the solicitation due date from 5/5/2023 at 9:00 AM EST to 5/12/2023 at,https://sam.gov/opp/f40f5b9f5f20466095ad404382bd4ffa/view,,
Incineration-Destruction of Sensitive Materials and Non-Sensitive Materials,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV24R0007,2023-05-09,2023-05-10,Inactive,,"The U.S. Government Publishing Office (GPO) Security and Intelligent Documents, SID, Division, requires the use of the offeror's waste destruction facilities to securely and completely destroy passport waste.",https://sam.gov/opp/c5309c64f7d44d598bcdb35593ef0f08/view,,
"Virtual AOC Design and Construction Sector Industry Day (May 1, 2023)",ARCHITECT OF THE CAPITOL,,,Special Notice,,2023-05-09,2023-04-28,Inactive,,"The Architect of the Capitol (AOC) is hosting a Virtual Design and Construction Sector Industry Day on Monday, May 1, 2023 from 10:00am to 11:00am EST . This event is designed to provide information about doing business with",https://sam.gov/opp/c005ab09f8034fdf958473f74fb14cd7/view,,
FedRAMP Zoom Licenses Renewal,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2023-R-031,2023-05-08,2023-05-16,Inactive,,This RFQ is for the renewal of Zoom FedRAMP licenses and includes four attachments.,https://sam.gov/opp/eabc0730c05d475d9d57df5f6761cd94/view,,
"Fire Alarm and Audibility Upgrade Project at the James Madison Memorial Building (JMMB), Library of Congress in Washington, DC.",ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Solicitation,AOCACB23R0032,2023-05-08,2023-06-20,Inactive,,"THIS PROCUREMENT IS BEING SOLICITED UNRESTRICTED, FULL AND OPEN COMPETITION. Solicitation No. AOCACB23R0032 Project Name: Fire Alarm and Audibility Upgrade Project at the James Madison Memorial Building (JMMB), Library of Congress",https://sam.gov/opp/f1f8f0eeb0aa4ddebfe15afe652d91f2/view,,
Legal Briefs and Reports,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,0404S_2023,2023-05-05,2023-05-12,Inactive,,"These specifications cover the production of saddle-stitched and perfect-bound legal publications (Briefs and Reports) requiring such operations as electronic prepress, printing, binding, packing, and distribution.",https://sam.gov/opp/278a4aa1fe6342739945e48ea1dcbd28/view,,
MMAR 6.302-2 Public Exigency Congressional Mandate,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Justification,040ADV-23-F-0056,2023-05-05,,Inactive,,"The Government Publishing Office (GPO), Library Services Content Management (LSCM),has an immediate need for CoreSphere (the “Contractor”) to continue development, sustainment, and operations and maintenance while meeting the cri",https://sam.gov/opp/eaf480ccd3794f1b9e7af23b884c6e6e/view,,
Fire Extinguisher Maintenance & Disposal,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Combined Synopsis/Solicitation,AOCSSB23R0045,2023-05-05,2023-05-31,Inactive,,"The Architect of the Capitol (AOC), Supplies, Services, and Material Management Division (SSMMD) is issuing Request for Proposals (RFP) # AOCSSB23R0045 for an Indefinite Delivery Indefinite Quantity (IDIQ) contract for Fire Extinguisher Maintenanc",https://sam.gov/opp/d064b04a78c44c4d9c636e5d8ceb358b/view,,
Laundry and Delivery of Linen,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Award Notice,AOCSSB23C1014,2023-05-05,,Inactive,,,https://sam.gov/opp/c44c2c53bd6d4ea8b9d2f06a95adcab4/view,COLES GROUP (THE) LLC,
ERTO Rack Mount Monitor Replacements,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0170,2023-05-04,2023-06-05,Inactive,,"This is a combined synopsis/solicitation under FAR 13/13.5. This is a firm fixed price soliciation for equipment. The Contractor shall provide and deliver the different types of required monitors, as specified. Configurations currently use",https://sam.gov/opp/773c700143a84082996e4b5bdea518c3/view,,
Intent to Sole Source: LegisPro BillCompare Licenses from Xcential Corporation,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,2023-ACQ-1188,2023-05-04,,Inactive,,"This notice serves as notification of the Library's intent to award a stand alone contract to Xcential Corporation, provided in accordance with FAR 5.203(a) and 12.204(b). An award has not yet been made. Please see the attached redacted Justif",https://sam.gov/opp/c295ce82abbc4eda8bba375e35cad2a8/view,,
CMD Collection Move,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGD23D0003,2023-05-03,,Inactive,,"This is a single award Indefinite Delivery/Indefinite Quantity (IDIQ) contract. The total evaluated price was $1,821,515.52.",https://sam.gov/opp/3009c734942948ccbeb2d56dfd76489a/view,"ZIMMERMAN ASSOCIATES, INC.",
"IRS Envelopes E178, 4-3/8 x 9-3/4” with Multi-dimensional Window",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,741-088,2023-05-03,2023-05-05,Inactive,,"These specifications cover the production of non-standard window envelopes requiring such operations as reproducibles, printing, die cutting, construction, packing, and distribution. These envelopes are used in the processing of time sensi",https://sam.gov/opp/3d1876c165c24e5a8fc97cb451ad2bb3/view,,
"IRS Envelopes E178, 4-3/8 x 9-3/4”- Multi-dimensional Window",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,741-087,2023-05-03,2023-05-05,Inactive,,"These specifications cover the production of non-standard window envelopes requiring such operations as reproducibles, printing, die cutting, construction, packing, and distribution. These envelopes are used in the processing of time sensi",https://sam.gov/opp/7f2ba1f84dbd4cc38a23f9ddb21cfe0d/view,,
GPO Daily Parcel Services for Laurel Distribution Center,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Award Notice,040ADV-23-F-0052,2023-05-03,,Inactive,,,https://sam.gov/opp/96db142bf6ba47938ebf3989dddd87dd/view,UNITED PARCEL SERVICE CO.,
"GPO Daily Parcel Services for Washington, DC",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Award Notice,040ADV-23-F-0053,2023-05-03,,Inactive,,,https://sam.gov/opp/17a3cb77dc96454586ceccf8bec53954/view,UNITED PARCEL SERVICE CO.,
GPO Daily Parcel Services for Pueblo,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Award Notice,040ADV-23-F-0045,2023-05-03,,Inactive,,,https://sam.gov/opp/0078d59192f042c48866d1f9970d1740/view,UNITED PARCEL SERVICE CO.,
"Black American in Congress, 1870-2022",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,051328,2023-05-02,,Inactive,,Item 1: Smyth Sewn Perfect-Bound Book Item 2: Smyth Sewn Case-Bound Book Item 3: French Fold Dust Cover Item 4: Laminated Dust Cover,https://sam.gov/opp/cd25ebd3825040ee8244751ba7b8eea6/view,Advantage Mailing LLC,
Intent to Sole-Source - ASD Reflectance Spectrometer Service,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LGD20230046,2023-05-02,2023-05-17,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole source firm fixed price",https://sam.gov/opp/de871aead9204f6c9fae69c3a575c3a3/view,,
"Intent to Sole Source | SEER Consultation, Support Services, and Workshops",LIBRARY OF CONGRESS,,,Special Notice,CIO20230192,2023-05-02,2023-05-09,Inactive,,"The Library of Congress (Library) endeavors to produce quality cost estimates for Information Technology (IT) investments based on industry best practices and GAO and OIG guidance and specific audit recommendations to the Library. To this end, the",https://sam.gov/opp/ecdb9388b1074f3bb60582f28c539fca/view,,
Relyco Revlar Select Paper Requirement,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-23-Q-0057,2023-05-02,2023-05-09,Inactive,,THE PURPOSE OF THIS OF THIS SOLICITATION IS TO PURCHASE RELYCO REVLAR SELECT WHITE 11X17- 4.7 MIL. THE GOVERNMENT ANTICPATES TO AWARD TO THE LOWEST PRICE TECHNICALLY ACCEPTABLE (LPTA) VENDOR. ,https://sam.gov/opp/8b9f6180a5af4bcb89b2891f38661f97/view,,
Award Notice for United Postal Service (Sole Source),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Award Notice,040ADV-23-Q-0051,2023-05-01,,Inactive,,,https://sam.gov/opp/d48283caf50a4f0c89b8514ab451ab2a/view,UNITED PARCEL SERVICE CO.,
8-COLOR PRESS,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Award Notice,040ADV-23-R-0003,2023-04-28,,Inactive,,,https://sam.gov/opp/008c87fd50f4464699e92b23f15e717e/view,KOENIG & BAUER US INC,
Justification and Approval to Extend Period of Performance for Library of Congress BPA Order - Enterprise Architecture Program Office Support,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,CIO23PL0132,2023-04-28,,Inactive,,The Library of Congress requires a 1.5 month period of performance extension. Extends POP from (5/2/2022 – 5/1/2023) to (5/2/2022 – 6/18/2023). See the attached justification and approval for additional information. ,https://sam.gov/opp/305b04b480ce4ac7937d4307f9154808/view,,
Serialized and Non-Serialized Alien File Jackets,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM705S(2023),2023-04-28,2023-05-15,Inactive,,"These specifications cover the production of serialized and non-serialized alien file jackets, requiring such operations as composition, electronic prepress, printing, binding, construction, packing, and distribution. Complete specif",https://sam.gov/opp/3f6b81f63fe441d58fa030e4f9b1e709/view,,
IRS E-182-W Envelopes for Flat Products,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2559sPROGRAM,2023-04-28,2023-05-25,Inactive,,"These specifications cover the production of envelopes requiring such operations as electronic submission of orders, reproducibles, proofs, prior-to-production samples, printing, construction, packing, and distribution.These envelopes are used in",https://sam.gov/opp/4ad65aba219c40709573f6a8d58af116/view,,
IRS E-142 and E-205 Envelopes,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2555SProgram,2023-04-27,2023-05-12,Inactive,,"These specifications cover the production of envelopes requiring such operations as electronic submission of orders, reproducibles, proofs, prior-to-production samples, printing, construction, packing, and distribution. These envelopes are us",https://sam.gov/opp/bdc26dacde894b16b489b1d83363a61e/view,,
IRS E-178 Envelopes,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2554SProgram,2023-04-27,2023-05-10,Inactive,,"These specifications cover the production of envelopes requiring such operations as reproducibles, printing, construction, packing, and distribution. These envelopes are used in the processing of time sensitive taxpayer correspondence. Comple",https://sam.gov/opp/ae8a7e4b3c774f968ea64d614ac208a6/view,,
"Retail Shop Preparation, Fabrication and Installation - Library of Congress",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV22Q0130,2023-04-27,2023-05-03,Inactive,,"Amendment 3: The purpose is to extend the offer period. Offers are now due by 5:00pm EDT on May 3, 2023. Amendment 2: The purpose is to extend the offer period by one week. Offers are now due by 5:00pm EDT on April 27, 2023.<br",https://sam.gov/opp/4bc14655c99543d2b7b7e9871603dce8/view,,
Intent to Sole-Source - Braille Magazines,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,NLS20230059,2023-04-26,2023-05-11,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixed price",https://sam.gov/opp/766cabc75fe44faa838b2659c8cd520b/view,,
Braille Music Transcription & Proofreading,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23R0045,2023-04-26,2023-05-19,Inactive,,This is a combined synopsis/solicitation being issued under the authority of FAR 13.5. The Library of Congress (Library) requires contract support to transcribe musical documents into braille. The Music Section of the National Library Serv,https://sam.gov/opp/7b4dab3a10a240e8aafd6e373f3962c4/view,,
Lethal Means Toolkits 2023,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,741-015jacket,2023-04-25,2023-04-28,Inactive,,"These specifications cover mailing 211 total kits to various Personal and Governmental Addresses. Each 211 kits contain printing of Item 1: Factsheet, Item 2: Large Postcards, Item 3: Rectangular Bumper Stickers, Item 4: Large Stickers",https://sam.gov/opp/ed1eaec313644248a795577e58242d26/view,,
Range Cleaning Services,THE LEGISLATIVE BRANCH,JOINT HOUSE AND SENATE ENTITIES,US CAPITOL POLICE PROCUREMENT,Solicitation,QSUTSBQ202300001,2023-04-25,2023-05-18,Inactive,,"The United States Capitol Police (USCP) anticipates award of a Firm Fixed Price Contract for Range Cleaning Services. **Please note the following:** 1. REVISED NOTICE: There will only be one pre-award site visit on Friday, April 21",https://sam.gov/opp/c2b70e6a368f4646b5275b0af0bd7222/view,,
Speaker Replacements - NAVCC,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGR23P0014,2023-04-24,,Inactive,,An award was made to the business document herein. This was a full and open competition for specific brand name products to be supplied by any reseller. The Brand Name Justification was included in the solicitation.,https://sam.gov/opp/9ae07025ec0e4666bbced2b96da27fa4/view,VINTAGE KING AUDIO INC,
Library of Congress - Mumford Room A/V Modernization,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23R0036,2023-04-24,2023-05-01,Inactive,,"The Library of Congress (Library) requires contract support to modernize the audio and video capabilities and infrastructure of the L. Quincy Mumford Room (Mumford Room), located in the Library’s James Madison Memorial Building. The Madison",https://sam.gov/opp/0f097c166be248a7b7777196c994c3d0/view,,
Library of Congress - NLS 2024 National Conference - San Diego,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23R0044,2023-04-24,2023-05-09,Inactive,,"Amendment 1: This amendment answers questions submitted by potential offerors. The Questions and Answer period remains open until the time listed in this solicitation. - - - The Library of Congress (Library), National Library Servi",https://sam.gov/opp/9d9903903bf34e99a86fe475d2b6a7d1/view,,
AOC Multi-Award A/E IDIQ,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Presolicitation,AOCACB23R0027,2023-04-21,,Inactive,,THIS IS A PRE-SOLICITATION NOTICE ONLY. THIS IS NOT A REQUEST FOR PROPOSALS OR INVITATION FOR BID. **Updated 4/21/23 to include a listing of current IDIQ holders and estimated timing on Request for Qualifications,https://sam.gov/opp/a7b50f4cc6af4f39bfa87e0498e73a04/view,,
Lock and Key Services IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0080,2023-04-21,2023-04-25,Inactive,,Amendment - 0005 The purpose of Amendment 0005 is to post Questions and Answers. Amendment- 0004 Refer to Amendment 0004 for changes to the solicitation and additional attachmen,https://sam.gov/opp/c3160882140148de85fdb22e2456b700/view,,
Notice of Intent of Sole Source Award to NIC Technologies for Electronic Copyright Claims Boards,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLOC20D0017-COP23T0002,2023-04-20,,Inactive,,"This Post-Award Synopsis/Notice of Award serves to document the award announcement via SAM.gov. NIC Technologies, Arlington, Virginia, was awarded a $2,771,158.41 Firm Fixed Priced contract on April 13, 2023 for the hosting and licensing services",https://sam.gov/opp/46149b14e9234647aaa17dc2c02637f5/view,NIC FEDERAL LLC,
Researcher Consulting Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23R0027,2023-04-20,2023-04-28,Inactive,,"Amendment 1 answers questions submitted from potential businesses. - - - - - - The Library of Congress requires contract support to begin a program of researcher assessment, engagement, and analysis in line with the Lib",https://sam.gov/opp/7cfa2894552e47fb938cfc2a2a91478e/view,,
Intent to Sole Source - KM504 Boxmaker Service Agreement,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LGD20230090,2023-04-19,2023-05-03,Inactive,,The Conservation Division (CD) of the Library of Congress requires contract support to obtain a five-year maintenance service agreement for the KM504 Boxmaker currently in use in the Conservation Division. The service support agreement includes on,https://sam.gov/opp/2a875ae601554cadbe3b1f56c4f680c3/view,,
Sustainable Cleaning Products & Vendor Managed Inventory Services,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Solicitation,AOCSSB23R0032,2023-04-19,2023-05-03,Inactive,,"The Architect of the Capitol (AOC), Supplies, Services, and Material Management Division (SSMMD) is issuing Request for Proposals (RFP) # AOCSSB23R0032 for an agency-wide Indefinite Delivery Indefinite Quantity (IDIQ) contract. It is anticip",https://sam.gov/opp/e7c8d2d428b8497ebe0c74bb5720a0b2/view,,
REQUEST FOR INFORMATION - CONTENT MANAGEMENT SYSTEM,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,,Special Notice,2023-S-025,2023-04-18,2023-04-28,Inactive,,This announcement constitutes a Request for Information (RFI) for purposes of determining market availability of sources and obtaining information. Responses to this RFI may be used for market research for future solicitations. See document below,https://sam.gov/opp/d0f3e0c91f674fc8a6ea6127c662eef2/view,,
Senior Rated Executive and/or General Schedule Leadership Positions:  Search and Recruitment Services,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,HCMD041420230001,2023-04-18,2023-04-25,Inactive,,Please see attachment.,https://sam.gov/opp/3c4ec91917db4dd8b9fa0a59a8dbe74d/view,,
2021 ICE Detainee Handbook,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2021ICEDetaineeHandbook718-810(2023),2023-04-18,2023-04-27,Inactive,,"2021 ICE Detainee handbooks in Vietnamese, Punjabi, Spanish and English. These specifications cover the production of separate-covered saddle-stitched booklets requiring such operations as electronic prepress, printing, binding, packing, and natio",https://sam.gov/opp/309107c6f289416a9bdd9fb711c55c2a/view,,
Retail Shop A&E Quality Assurance - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,ISS23PL0066,2023-04-17,,Inactive,,"This public notice is prepared in accordance with FAR Part 5.2 - Synopsis of Proposed Contract Actions. The Library of Congress requires contractor support for Architecture, Engineering and Quality Assurance services in relation to the pre",https://sam.gov/opp/13593bc03892414b9b40694786f8f503/view,,
Consultant for Digital FDLP.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-23-Q-0051,2023-04-17,2023-04-21,Inactive,,"The Government Publishing Office (GPO), Library Services and Content Management (LSCM) is seeking a consultant to assist with functions for Digital FDLP in Washington, DC office. GPO ancipates awarding one firm fixted price contract a",https://sam.gov/opp/69d415d10ece4a269c330bc874dc0eb0/view,,
AV Equipment,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV23Q0084,2023-04-17,,Inactive,,"The Contractor shall furnish and deliver all AV related equipment, cabling, hardware, and accessories contained within this project proposal. Services include preventive and corrective maintenance for one year. <",https://sam.gov/opp/82a5d527910a456ea1dafe99b32b5fdd/view,TRITECH COMMUNICATIONS INC,
Maintenance Plan for Scanity Archival Scanner,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LGR20230077,2023-04-13,2023-04-27,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intend to award a sole-source firm fixed",https://sam.gov/opp/cf6abe9e89874602ab0499e3af19c7ce/view,,
"Book, Memorandum. NSN: 7530-00-222-0078",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,740036Jacket,2023-04-13,2023-04-19,Inactive,,"PRINTING: 144 text pages/72 leaves. must be faint line ruled on the face and back with 20 rules per page, spaced 18 points apart. Contractor will be required to use a 133-line screen for rules screened at 40%. All rules must align acro",https://sam.gov/opp/9522ce09655d4eb3ab86d8055f45a107/view,,
NAVCC Preservation Plan - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0117,2023-04-13,2023-05-15,Inactive,,This public notice is a combined synopsis/solicitation issued under the authority of FAR Part 13. The Library requires Contractor support to implement selected tasks from the Congressionally-mandated National Film Preservation Plan. T,https://sam.gov/opp/aa8482db14a14ad5933637d142d8f4ab/view,,
